ticker,year,n_papers,total_citations,annual_return,sp500_return,excess_return,rd_b,patents,models,paper_share,d_papers,d_share,d_rd,d_patents,d_models,L_d_papers,L_d_share,L_d_patents,L_d_models,post
GOOGL,2020,896,427506,0.2805331637937905,0.15292906541696086,0.12760409837682965,27.573,8362,28,0.19440225645476242,0.20738213005013773,-0.11230712673093723,0.05804842686471501,-0.04295318281883986,-0.1292117314800061,0.8171221864642497,0.14024659072663614,-0.18081203601891893,0.09531017980432477,0
GOOGL,2021,654,85782,0.6783437537545781,0.28793058018340584,0.3904131735711723,31.562,7963,39,0.17053455019556715,-0.3144206264235443,-0.13099158259858013,0.135116832281859,-0.048891819659065305,0.3215836241274621,0.20738213005013773,-0.11230712673093723,-0.04295318281883986,-0.1292117314800061,0
GOOGL,2022,101,25642,-0.39148147373945424,-0.19953050663444413,-0.1919509671050101,39.5,8110,38,0.06710963455149502,-1.859662422350981,-0.9326102979975588,0.22434680658113493,0.01829205485201335,-0.025317807984289953,-0.3144206264235443,-0.13099158259858013,-0.048891819659065305,0.3215836241274621,1
GOOGL,2023,101,7479,0.5674369416780761,0.2472948720788867,0.32014206959918945,45.427,9139,50,0.0667107001321004,0,-0.005962256814417977,0.13980597002452955,0.11945310216274407,0.2682639865946794,-1.859662422350981,-0.9326102979975588,0.01829205485201335,-0.025317807984289953,1
GOOGL,2024,99,25876,0.3750178434590277,0.24010976272160814,0.13490808073741958,49.326,10119,62,0.06513157894736842,-0.019802627296178876,-0.02395584654959748,0.08234468346644563,0.10186387445755685,0.21130909366720685,0,-0.005962256814417977,0.11945310216274407,0.2682639865946794,1
GOOGL,2025,73,1640,0.6633014103746312,0.1751182939380753,0.4881831164365559,61.09,9129,59,0.046556122448979595,-0.3011050927839216,-0.33575099605622993,0.21389686126362406,-0.10295868516467799,-0.04879016416943216,-0.019802627296178876,-0.02395584654959748,0.10186387445755685,0.21130909366720685,1
META,2019,210,34728,0.5127508759235281,0.287147959023383,0.22560291690014506,13.6,3185,23,0.06304152972811473,0.5896841986783103,-0.09743982532963225,0.28055069850787984,0.28674060054794026,1.3862943611198908,0.7548407495652851,0.13796034361010712,-0.11968651588477286,-0.15415067982725827,0
META,2020,322,47941,0.3021260099905484,0.15292906541696086,0.14919694457358754,18.447,2910,16,0.06986331091343025,0.4257941897465898,0.10274692055916024,0.30483196289743564,-0.09029920784072676,-0.3448404862917296,0.5896841986783103,-0.09743982532963225,0.28674060054794026,1.3862943611198908,0
META,2021,269,24301,0.25065101739408685,0.28793058018340584,-0.03727956278931899,24.655,3055,19,0.07014341590612777,-0.1792303642242814,0.004001312976582572,0.29007796403664754,0.048626511440157394,0.1625189294977747,0.4257941897465898,0.10274692055916024,-0.09029920784072676,-0.3448404862917296,0
META,2022,23,591,-0.644532412977565,-0.19953050663444413,-0.44500190634312087,35.338,3073,38,0.015282392026578074,-2.4203681286504293,-1.5238406270543088,0.35997915251836865,0.005874690524789727,0.6678293725756554,-0.1792303642242814,0.004001312976582572,0.048626511440157394,0.1625189294977747,1
